nutrient,sex,age,year,Reg_Prov,x,y
Vitamin D,Male,1-3 years,2004,Canada excluding territories,2.94691065199558,0.090947746211714
Vitamin D,Male,1-3 years,2004,Canada excluding territories,2.98694353170402,0.092212927214785
Vitamin D,Male,1-3 years,2004,Canada excluding territories,3.02697641141247,0.093457918172301
Vitamin D,Male,1-3 years,2004,Canada excluding territories,3.06700929112092,0.094688669140276
Vitamin D,Male,1-3 years,2004,Canada excluding territories,3.10704217082937,0.095906093475519
Vitamin D,Male,1-3 years,2004,Canada excluding territories,3.14707505053782,0.09710518903475
Vitamin D,Male,1-3 years,2004,Canada excluding territories,3.18710793024627,0.09828458563512
Vitamin D,Male,1-3 years,2004,Canada excluding territories,3.22714080995472,0.09944928825231
Vitamin D,Male,1-3 years,2004,Canada excluding territories,3.26717368966316,0.100598392572528
Vitamin D,Male,1-3 years,2004,Canada excluding territories,3.30720656937161,0.101721835659002
Vitamin D,Male,1-3 years,2004,Canada excluding territories,3.34723944908006,0.102829375242655
Vitamin D,Male,1-3 years,2004,Canada excluding territories,3.38727232878851,0.103920872875255
Vitamin D,Male,1-3 years,2004,Canada excluding territories,3.42730520849696,0.104988228436319
Vitamin D,Male,1-3 years,2004,Canada excluding territories,3.46733808820541,0.106034689999946
Vitamin D,Male,1-3 years,2004,Canada excluding territories,3.50737096791386,0.107064084510965
Vitamin D,Male,1-3 years,2004,Canada excluding territories,3.5474038476223,0.10807304518336
Vitamin D,Male,1-3 years,2004,Canada excluding territories,3.58743672733075,0.109055037827407
Vitamin D,Male,1-3 years,2004,Canada excluding territories,3.6274696070392,0.110019094610153
Vitamin D,Male,1-3 years,2004,Canada excluding territories,3.66750248674765,0.110965116604085
Vitamin D,Male,1-3 years,2004,Canada excluding territories,3.7075353664561,0.11188167960677
Vitamin D,Male,1-3 years,2004,Canada excluding territories,3.74756824616455,0.112777678710664
Vitamin D,Male,1-3 years,2004,Canada excluding territories,3.787601125873,0.113654952917663
Vitamin D,Male,1-3 years,2004,Canada excluding territories,3.82763400558144,0.114507306809153
Vitamin D,Male,1-3 years,2004,Canada excluding territories,3.86766688528989,0.115333031374246
Vitamin D,Male,1-3 years,2004,Canada excluding territories,3.90769976499834,0.116139489315517
Vitamin D,Male,1-3 years,2004,Canada excluding territories,3.94773264470679,0.116926006745106
Vitamin D,Male,1-3 years,2004,Canada excluding territories,3.98776552441524,0.11767972807377
Vitamin D,Male,1-3 years,2004,Canada excluding territories,4.02779840412369,0.118413784117743
Vitamin D,Male,1-3 years,2004,Canada excluding territories,4.06783128383214,0.119128137090216
Vitamin D,Male,1-3 years,2004,Canada excluding territories,4.10786416354058,0.11981367862115
Vitamin D,Male,1-3 years,2004,Canada excluding territories,4.14789704324903,0.120474211141771
Vitamin D,Male,1-3 years,2004,Canada excluding territories,4.18792992295748,0.121114800838799
Vitamin D,Male,1-3 years,2004,Canada excluding territories,4.22796280266593,0.121732073073647
Vitamin D,Male,1-3 years,2004,Canada excluding territories,4.26799568237438,0.12231840307578
Vitamin D,Male,1-3 years,2004,Canada excluding territories,4.30802856208283,0.122884678856486
Vitamin D,Male,1-3 years,2004,Canada excluding territories,4.34806144179128,0.123430894998846
Vitamin D,Male,1-3 years,2004,Canada excluding territories,4.38809432149973,0.123945188726005
Vitamin D,Male,1-3 years,2004,Canada excluding territories,4.42812720120817,0.124437011331421
Vitamin D,Male,1-3 years,2004,Canada excluding territories,4.46816008091662,0.12490880281459
Vitamin D,Male,1-3 years,2004,Canada excluding territories,4.50819296062507,0.125354525268618
Vitamin D,Male,1-3 years,2004,Canada excluding territories,4.54822584033352,0.125772141169786
Vitamin D,Male,1-3 years,2004,Canada excluding territories,4.58825872004197,0.126169865203074
Vitamin D,Male,1-3 years,2004,Canada excluding territories,4.62829159975042,0.126547426728115
Vitamin D,Male,1-3 years,2004,Canada excluding territories,4.66832447945886,0.126891441403815
Vitamin D,Male,1-3 years,2004,Canada excluding territories,4.70835735916731,0.127215805697509
Vitamin D,Male,1-3 years,2004,Canada excluding territories,4.74839023887576,0.12752055878904
Vitamin D,Male,1-3 years,2004,Canada excluding territories,4.78842311858421,0.127797240567501
Vitamin D,Male,1-3 years,2004,Canada excluding territories,4.82845599829266,0.128049275918227
Vitamin D,Male,1-3 years,2004,Canada excluding territories,4.86848887800111,0.128282049751621
Vitamin D,Male,1-3 years,2004,Canada excluding territories,4.90852175770956,0.128492747239278
Vitamin D,Male,1-3 years,2004,Canada excluding territories,4.94855463741801,0.128673780079291
Vitamin D,Male,1-3 years,2004,Canada excluding territories,4.98858751712645,0.128835984444564
Vitamin D,Male,1-3 years,2004,Canada excluding territories,5.0286203968349,0.128979420444728
Vitamin D,Male,1-3 years,2004,Canada excluding territories,5.06865327654335,0.129093600003367
Vitamin D,Male,1-3 years,2004,Canada excluding territories,5.1086861562518,0.129186904748968
Vitamin D,Male,1-3 years,2004,Canada excluding territories,5.14871903596025,0.129261960730379
Vitamin D,Male,1-3 years,2004,Canada excluding territories,5.1887519156687,0.129313721260493
Vitamin D,Male,1-3 years,2004,Canada excluding territories,5.22878479537715,0.12934002975517
Vitamin D,Male,1-3 years,2004,Canada excluding territories,5.26881767508559,0.129348674161353
Vitamin D,Male,1-3 years,2004,Canada excluding territories,5.30885055479404,0.129339731280507
Vitamin D,Male,1-3 years,2004,Canada excluding territories,5.34888343450249,0.129301183740217
Vitamin D,Male,1-3 years,2004,Canada excluding territories,5.38891631421094,0.129245584399286
Vitamin D,Male,1-3 years,2004,Canada excluding territories,5.42894919391939,0.129173048194746
Vitamin D,Male,1-3 years,2004,Canada excluding territories,5.46898207362784,0.12907672519244
Vitamin D,Male,1-3 years,2004,Canada excluding territories,5.50901495333629,0.128959223637612
Vitamin D,Male,1-3 years,2004,Canada excluding territories,5.54904783304473,0.128825482996632
Vitamin D,Male,1-3 years,2004,Canada excluding territories,5.58908071275318,0.128673476287901
Vitamin D,Male,1-3 years,2004,Canada excluding territories,5.62911359246163,0.128496562057905
Vitamin D,Male,1-3 years,2004,Canada excluding territories,5.66914647217008,0.1283041457805
Vitamin D,Male,1-3 years,2004,Canada excluding territories,5.70917935187853,0.128096322724178
Vitamin D,Male,1-3 years,2004,Canada excluding territories,5.74921223158698,0.127864936718078
Vitamin D,Male,1-3 years,2004,Canada excluding territories,5.78924511129543,0.127616487377008
Vitamin D,Male,1-3 years,2004,Canada excluding territories,5.82927799100387,0.127353403529571
Vitamin D,Male,1-3 years,2004,Canada excluding territories,5.86931087071232,0.12707197926216
Vitamin D,Male,1-3 years,2004,Canada excluding territories,5.90934375042077,0.12677022654101
Vitamin D,Male,1-3 years,2004,Canada excluding territories,5.94937663012922,0.126454632485064
Vitamin D,Male,1-3 years,2004,Canada excluding territories,5.98940950983767,0.126125297823278
Vitamin D,Male,1-3 years,2004,Canada excluding territories,6.02944238954612,0.125773275761704
Vitamin D,Male,1-3 years,2004,Canada excluding territories,6.06947526925457,0.125407973504281
Vitamin D,Male,1-3 years,2004,Canada excluding territories,6.10950814896301,0.125029737357969
Vitamin D,Male,1-3 years,2004,Canada excluding territories,6.14954102867146,0.124633666268693
Vitamin D,Male,1-3 years,2004,Canada excluding territories,6.18957390837991,0.124221481989718
